timestamp_utc,name,to,subject,status
2026-06-27T23:30:19.585684+00:00,Center Medspa,info@centermedspa.com,the leads who don't book online,SENT
2026-06-27T23:30:28.550917+00:00,Larimar MedSpa,info@larimarmedspa.com,the leads who don't book online,SENT
2026-06-27T23:30:36.037853+00:00,Werschler Aesthetics,info@spokanederm.com,the leads who don't book online,SENT
2026-06-27T23:30:43.507440+00:00,Moore Road MediSpa,moorerdmedispa@gmail.com,the leads who don't book online,SENT
2026-06-27T23:30:50.710645+00:00,Allante Life Med Spa,info@allantelife.com,the leads who don't book online,SENT
2026-06-27T23:30:57.977683+00:00,Crafted Beauty Med Spa,info@craftedbeauty.com,the leads who don't book online,SENT
2026-06-27T23:31:06.388731+00:00,Evo Med Spa,info@evomedspa.com,the leads who don't book online,SENT
2026-06-27T23:31:13.820191+00:00,Sarah Hamilton Face,info@sarahhamiltonface.com,the leads who don't book online,SENT
2026-06-27T23:31:21.003361+00:00,Spa Pavone,spapavone@plasticsurgerynorthwest.com,the leads who don't book online,SENT
2026-06-27T23:31:31.072113+00:00,Premier Medical Aesthetics,booking@premiermedspachatt.com,the leads who don't book online,SENT
2026-06-27T23:31:38.350319+00:00,Law Offices Of Comstock & Bush,info@comstockbush.com,3 reviews for Law Offices Of Comstock & Bush?,SENT
2026-06-27T23:31:45.492459+00:00,Copeland Whittenburg Meeks & Andrews,info@cwmalawfirm.com,a quick thought on your intake,SENT
2026-06-27T23:31:53.888327+00:00,Cox Law Offices,info@tennesseeinjurylaw.com,1 review for Cox Law Offices?,SENT
2026-06-27T23:32:01.009035+00:00,Charles Bean & Associates PLLC,info@beanlawinw.com,a quick thought on your intake,SENT
2026-06-27T23:32:08.376073+00:00,"Sawtooth Law Offices, PLLC",katie@sawtoothlaw.com,"10 reviews for Sawtooth Law Offices, PLLC?",SENT
2026-06-27T23:32:15.638944+00:00,Derek A. Pica PLLC,admin@picalawfirm.com,a quick thought on your intake,SENT
2026-06-27T23:32:22.912249+00:00,Peltram Law Offices,dana@peltramlaw.com,a quick thought on your intake,SENT
2026-06-27T23:32:30.159670+00:00,"Cooney Law Offices, P.S.",info@jcooney.com,a quick thought on your intake,SENT
2026-06-27T23:32:37.340393+00:00,Spokane Divorce Attorneys,office@spokane-divorce.com,a quick thought on your intake,SENT
2026-06-27T23:32:44.515254+00:00,General Air Service,office@generalairservice.com,quick one about Knoxville leads,SENT
2026-06-27T23:32:53.036582+00:00,HVAC 1,office@hvac1pros.com,quick one about Spokane leads,SENT
2026-06-27T23:33:00.180308+00:00,Cook’s Comfort Systems,info@cookscomfortsystems.com,5 reviews for Cook’s Comfort Systems?,SENT
2026-06-27T23:33:08.689824+00:00,A-1 Team Heating and Cooling Solutions,info@a-1team.com,quick one about Spokane leads,SENT
2026-06-27T23:33:15.930322+00:00,Madison Roofing,info@madisonroofing.com,quick one about Boise leads,SENT
2026-06-27T23:33:25.524444+00:00,North Knox Siding & Windows,office@northknoxsidingandwindows.com,quick one about Knoxville leads,SENT
2026-06-27T23:33:34.203816+00:00,Amber Valley Construction,info@ambervalleyconstruction.com,7 reviews for Amber Valley Construction?,SENT
2026-06-27T23:33:41.560452+00:00,20/20 Exteriors,info@2020exteriors.com,quick one about Spokane Valley leads,SENT
