📊 **Tournament leaderboard** (so far)
1. `sma_crossover_qqq` — total $+0.25 (realized $+0.00, unrealized $+0.25) | trades=1, win%=n/a, turnover=$100
2. `sma_crossover_qqq_regime` — total $+0.19 (realized $+0.00, unrealized $+0.19) | trades=1, win%=n/a, turnover=$100
3. `breakout_xlk` — total $+0.05 (realized $+0.00, unrealized $+0.05) | trades=1, win%=n/a, turnover=$100
4. `breakout_xlk_regime` — total $+0.00 (realized $+0.00, unrealized $+0.00) | trades=1, win%=n/a, turnover=$100
5. `sma_crossover_qqq_rth` — total $+0.00 (realized $+0.00, unrealized $+0.00) | trades=1, win%=n/a, turnover=$100
6. `any` — total $+0.00 (realized $+0.00, unrealized $+0.00) | trades=7, win%=100%, turnover=$350
7. `bp2` — total $+0.00 (realized $+0.00, unrealized $+0.00) | trades=2, win%=n/a, turnover=$200
8. `breakout_ltc` — total $+0.00 (realized $+0.00, unrealized $+0.00) | trades=1, win%=n/a, turnover=$100
9. `rsi_mean_revert_eth` — total $+0.00 (realized $+0.00, unrealized $+0.00) | trades=1, win%=n/a, turnover=$100
10. `sma_crossover_btc` — total $-1.82 (realized $-1.82, unrealized $+0.00) | trades=5, win%=0%, turnover=$494
11. `buy_and_hold_btc` — total $-5.16 (realized $+0.00, unrealized $-5.16) | trades=1, win%=n/a, turnover=$100
12. `backstop_test` — total $-120.00 (realized $-120.00, unrealized $+0.00) | trades=6, win%=0%, turnover=$360
_Sample sizes are tiny; rankings are noise until n_trades >> 20._
